"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4191","LGN-013 - HTTPS usage","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","7828","LGN-006- Invalid username and valid password","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","6547","LGN--014- Login response time","chromium","2026-06-28","failed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","7704","LGN-011 - XSS attempt","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","5500","LGN-002 - PASSWORD MASKING","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","7447","LGN-007- Valid username and Invalid Password","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","7384","LGN-008- InValid username and Invalid Password","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","7817","LGN-009 - Username with leading/trailing spaces","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","7641","LGN-005- Password entered, username empty","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","5165","LGN-003- Empty username and password","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","13952","LGN-001 - Valid username and valid password","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","7324","LGN-015 - Very long username/password","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","8196","LGN-010 - SQL Injection attempt","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","10484","LGN-012 - Browser Back after logout","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
"","5746","LGN-004- Username entered, password empty","chromium","2026-06-28","passed","2026-06-28","","tests\logintestcase.spec.ts","",""
